Claim ID,Payer,Service Type,Claim Volume,Processing Time (days),Authorization Requests,Authorization Turnaround Time (days),Claim Resubmission Rates (%),Administrative Staff Turnover Rate (%),Cost Per Authorization ($),Revenue Cycle Time (days),Payment Discrepancies ($),Patient Wait Times (days),Patient Retention Rates (%),Patient Health Outcomes (scale 1-10),Data Completeness (%),Data Timeliness (days),User Adoption Rates (%),Payer Response Time (days),Payer Reimbursement Rates (%),Payer Policy Change Frequency (times/year),System Downtime (hours),System Response Time (seconds),Integration Success Rates (%),Training Hours,Resource Utilization Rates (%),Staff Satisfaction (scale 1-10),Date
1058.0,Payer A,Radiology,135.0,28.0,40.0,29.0,11.98,10.11,142.05,41.0,3808.45,14.0,76.65,6.0,81.48,3.0,64.09,22.0,,2.0,1.0,3.1,89.14,42.0,70.64,7.0,2023-05-26
,,,180.0,34.0,53.0,,18.41,5.82,140.2,46.0,3769.02,8.0,72.34,8.0,96.83,3.0,69.97,,99.73,2.0,20.0,4.56,91.93,35.0,61.13,6.0,2020-09-15
1060.0,Payer C,Surgery,,23.0,,22.0,17.85,11.17,,,2837.22,8.0,83.36,9.0,99.22,4.0,68.41,23.0,54.5,1.0,0.0,1.44,76.95,26.0,,8.0,2022-03-26
1061.0,Payer B,Oncology,187.0,120.0,55.0,27.0,23.62,5.09,134.21,44.0,1540.91,14.0,82.46,5.0,88.11,4.0,82.09,31.0,90.57,3.0,20.0,2.08,82.98,17.0,79.59,9.0,2023-10-25
1062.0,Payer A,Oncology,293.0,28.0,36.0,25.0,21.83,12.76,109.35,59.0,2259.2,13.0,78.68,9.0,84.5,3.0,81.06,20.0,96.7,3.0,1.0,3.73,89.21,35.0,59.36,8.0,2023-01-24
1063.0,Payer B,Radiology,203.0,,68.0,25.0,17.95,11.51,90.98,31.0,2280.37,10.0,74.22,5.0,80.39,3.0,88.65,,95.61,2.0,20.0,1.31,,24.0,62.8,9.0,2020-08-12
1064.0,Payer B,Surgery,114.0,28.0,48.0,15.0,11.83,7.13,99.17,37.0,3801.54,8.0,90.95,7.0,84.75,3.0,81.73,11.0,78.03,3.0,1.0,2.82,,29.0,81.55,7.0,2023-09-26
1065.0,,Cardiology,,23.0,35.0,11.0,20.59,8.75,137.26,43.0,30000.0,5.0,91.91,9.0,94.0,1.0,80.84,16.0,66.38,1.0,2.0,2.33,92.35,28.0,64.31,,2023-12-21
1066.0,Payer B,Cardiology,266.0,120.0,,13.0,16.5,5.08,80.14,34.0,4316.27,12.0,83.51,5.0,98.23,4.0,80.83,,82.0,2.0,4.0,4.35,80.4,16.0,,8.0,2021-04-28
1067.0,Payer B,Radiology,222.0,35.0,,8.0,,11.94,65.93,32.0,30000.0,13.0,76.11,7.0,81.87,2.0,86.49,15.0,65.3,3.0,3.0,,,10.0,64.58,9.0,2023-07-31
1068.0,Payer B,Oncology,,34.0,72.0,29.0,9.95,8.23,64.08,39.0,1745.23,9.0,72.4,7.0,91.07,2.0,68.89,23.0,70.61,,0.0,,93.1,48.0,56.47,9.0,2020-12-13
1069.0,Payer B,Radiology,100.0,22.0,68.0,17.0,6.59,,132.7,36.0,3876.66,9.0,91.71,7.0,93.91,2.0,69.0,13.0,72.29,2.0,2.0,3.81,89.48,46.0,63.64,8.0,
,Payer A,Radiology,250.0,39.0,,29.0,6.4,14.57,,59.0,3674.05,14.0,72.4,8.0,85.53,1.0,82.24,12.0,65.1,1.0,0.0,2.19,85.43,27.0,,9.0,2021-11-29
1071.0,Payer C,Radiology,221.0,24.0,48.0,8.0,,7.99,99.76,40.0,3992.48,12.0,70.33,9.0,91.4,1.0,66.86,20.0,67.09,,1.0,1.79,90.25,17.0,69.64,8.0,2023-10-29
1072.0,Payer B,Oncology,266.0,24.0,33.0,23.0,23.79,14.9,77.49,44.0,1755.71,12.0,81.73,9.0,94.3,,87.36,38.0,50.37,2.0,20.0,,96.38,24.0,68.33,,2021-02-16
1073.0,Payer B,Surgery,,39.0,,6.0,5.04,11.33,117.76,31.0,1630.36,9.0,88.28,9.0,96.75,2.0,76.04,10.0,64.85,3.0,3.0,3.22,92.7,15.0,56.25,,2022-10-02
,Payer B,Radiology,156.0,34.0,78.0,13.0,19.52,7.42,53.84,34.0,1945.94,8.0,81.44,9.0,89.05,2.0,69.0,23.0,73.62,3.0,3.0,2.38,95.73,46.0,57.1,5.0,2023-12-12
1075.0,Payer B,Oncology,180.0,37.0,66.0,16.0,18.14,9.37,106.82,40.0,2463.49,,71.29,8.0,94.96,3.0,83.28,15.0,58.65,2.0,,1.18,78.7,31.0,51.72,8.0,2022-04-12
1076.0,Payer B,Surgery,261.0,34.0,57.0,6.0,19.65,12.4,89.84,37.0,4174.66,14.0,87.25,9.0,86.04,4.0,69.37,38.0,90.28,2.0,20.0,1.66,94.01,20.0,,6.0,2022-07-04
1077.0,Payer B,Radiology,268.0,,59.0,10.0,12.11,9.46,147.79,42.0,3951.7,9.0,86.06,5.0,84.26,1.0,88.9,32.0,76.88,3.0,3.0,3.39,80.8,35.0,,6.0,2020-10-08
,Payer C,Cardiology,172.0,,,,21.41,5.69,100.76,40.0,4701.81,12.0,87.04,7.0,83.75,1.0,89.49,36.0,89.69,2.0,0.0,3.05,70.62,17.0,66.37,7.0,2023-06-20
1079.0,Payer C,Surgery,240.0,23.0,38.0,9.0,5.89,6.69,105.23,46.0,1234.52,13.0,75.28,8.0,,3.0,80.0,26.0,56.41,1.0,4.0,4.03,71.3,18.0,61.02,7.0,2021-06-22
1080.0,Payer B,Radiology,169.0,29.0,54.0,24.0,,12.91,121.24,44.0,1046.23,5.0,89.89,8.0,80.72,1.0,63.41,36.0,91.03,2.0,2.0,4.34,,22.0,89.6,5.0,2021-10-24
1081.0,Payer C,Surgery,,,62.0,26.0,,11.48,98.45,,3796.56,13.0,,9.0,85.66,,67.9,26.0,97.91,1.0,3.0,,78.16,,65.92,9.0,2020-07-17
1082.0,Payer A,,183.0,29.0,30.0,9.0,14.54,10.7,72.46,48.0,2117.15,13.0,83.41,,93.04,1.0,75.46,32.0,67.62,2.0,,1.4,,12.0,81.55,9.0,
1083.0,Payer B,Surgery,151.0,28.0,35.0,8.0,21.45,6.68,103.73,45.0,2336.32,,83.65,5.0,92.96,3.0,85.54,20.0,64.2,2.0,20.0,4.17,88.68,16.0,,6.0,2023-12-25
1084.0,Payer A,Surgery,,27.0,47.0,13.0,10.43,13.38,144.43,48.0,3187.21,14.0,77.17,7.0,81.47,4.0,65.55,37.0,82.34,,3.0,3.21,92.25,12.0,59.88,6.0,2020-08-14
1085.0,Payer A,Surgery,180.0,120.0,39.0,,8.7,14.61,,42.0,1409.65,9.0,76.25,6.0,85.75,2.0,63.13,31.0,81.8,3.0,0.0,4.92,,20.0,,7.0,2022-10-03
1086.0,Payer B,Surgery,162.0,35.0,57.0,14.0,18.63,5.41,117.96,52.0,30000.0,11.0,70.12,7.0,91.39,1.0,62.23,16.0,55.62,3.0,3.0,4.19,91.19,37.0,50.16,6.0,2023-05-04
1087.0,Payer C,Radiology,148.0,33.0,,20.0,15.67,5.78,147.8,51.0,2300.59,12.0,79.92,5.0,86.37,2.0,,22.0,,3.0,0.0,2.32,98.23,40.0,50.7,8.0,2022-01-02
1088.0,Payer A,Cardiology,175.0,28.0,,,15.29,13.85,132.99,52.0,,13.0,82.13,5.0,,4.0,86.54,,73.95,3.0,3.0,2.71,,18.0,55.69,8.0,2022-05-18
1089.0,Payer B,,211.0,30.0,30.0,,,13.16,115.9,33.0,4336.03,13.0,88.57,5.0,94.26,1.0,61.27,17.0,,,2.0,1.94,77.22,36.0,,5.0,2020-08-15
1090.0,Payer A,Surgery,274.0,22.0,42.0,23.0,5.7,11.18,123.6,40.0,30000.0,14.0,,8.0,80.19,2.0,,18.0,67.97,3.0,,3.05,97.2,21.0,71.11,8.0,2020-03-07
1091.0,Payer A,Oncology,208.0,24.0,66.0,14.0,13.21,14.45,143.65,47.0,,7.0,93.1,8.0,85.53,3.0,80.8,38.0,63.08,2.0,0.0,3.84,78.92,17.0,77.45,5.0,2023-09-10
1092.0,Payer A,Radiology,282.0,29.0,49.0,10.0,7.13,,145.98,47.0,,,76.6,6.0,82.85,3.0,84.78,34.0,55.56,,,3.45,89.82,31.0,62.48,7.0,2020-12-03
1093.0,Payer A,Surgery,,120.0,30.0,21.0,23.12,,146.9,39.0,4691.71,,79.17,,82.55,4.0,84.22,16.0,63.73,3.0,0.0,2.37,96.24,27.0,59.56,8.0,2021-09-01
1094.0,Payer C,Cardiology,164.0,23.0,,9.0,5.83,,112.56,,30000.0,11.0,71.21,9.0,99.18,4.0,83.55,34.0,99.67,3.0,20.0,4.29,88.7,39.0,82.91,,
1095.0,Payer A,Oncology,180.0,120.0,47.0,10.0,,11.46,88.47,59.0,,,86.33,6.0,,4.0,63.89,31.0,82.9,2.0,,1.42,94.19,20.0,,9.0,2020-04-23
1096.0,Payer A,Surgery,294.0,31.0,70.0,28.0,6.04,14.86,63.32,42.0,2615.55,6.0,87.72,9.0,90.54,1.0,71.92,18.0,90.14,3.0,2.0,1.57,97.82,11.0,77.13,5.0,2020-04-13
1097.0,Payer A,Radiology,,24.0,43.0,19.0,6.91,7.14,88.55,59.0,4096.89,6.0,93.22,9.0,94.68,4.0,89.54,20.0,97.93,2.0,1.0,2.62,99.01,38.0,87.25,8.0,2021-03-03
1098.0,Payer C,,,29.0,60.0,,18.18,10.98,144.3,54.0,3423.64,12.0,78.42,6.0,80.95,1.0,89.67,11.0,,3.0,1.0,3.81,82.32,35.0,59.29,5.0,2021-05-17
1099.0,Payer A,Oncology,131.0,28.0,56.0,23.0,17.94,,138.98,43.0,2978.06,9.0,76.43,7.0,84.82,2.0,78.07,36.0,58.23,1.0,3.0,3.78,99.78,23.0,53.48,,2023-08-23
1100.0,Payer A,Oncology,195.0,39.0,46.0,22.0,5.66,8.39,102.37,59.0,4651.94,7.0,88.15,,96.64,3.0,81.28,27.0,96.4,3.0,20.0,2.47,78.15,37.0,89.19,6.0,2023-05-01
1101.0,,,227.0,120.0,75.0,8.0,5.02,8.8,103.7,36.0,2508.47,5.0,87.67,8.0,97.24,2.0,88.54,39.0,,3.0,4.0,3.79,83.87,44.0,60.83,9.0,2020-08-01
1102.0,Payer C,Cardiology,295.0,21.0,58.0,12.0,6.58,13.88,80.89,39.0,1879.92,11.0,93.43,8.0,87.46,3.0,73.5,31.0,81.74,2.0,1.0,1.24,92.82,15.0,61.03,7.0,2022-08-14
1103.0,Payer C,,,,65.0,20.0,20.26,9.04,95.45,,3432.4,7.0,,6.0,87.5,4.0,64.11,12.0,71.38,3.0,3.0,2.16,99.1,45.0,69.35,9.0,2020-05-24
1104.0,Payer A,Cardiology,212.0,27.0,66.0,28.0,16.69,,121.44,31.0,,11.0,87.63,9.0,95.14,2.0,80.07,27.0,90.72,2.0,2.0,3.78,71.59,21.0,59.24,9.0,2021-08-31
1105.0,Payer C,Cardiology,182.0,26.0,55.0,23.0,5.76,13.89,90.24,59.0,2756.38,6.0,71.67,6.0,85.9,2.0,88.8,25.0,75.86,1.0,4.0,1.74,98.37,43.0,,5.0,2020-02-27
1106.0,Payer C,Radiology,,33.0,46.0,,14.76,7.1,68.8,48.0,,8.0,82.01,,82.34,4.0,80.92,17.0,,3.0,0.0,1.85,99.96,15.0,51.72,6.0,2021-11-08
1107.0,Payer A,Cardiology,215.0,38.0,51.0,7.0,19.24,14.82,104.09,36.0,4838.21,6.0,72.98,6.0,85.15,2.0,84.1,32.0,99.61,2.0,3.0,1.35,97.29,46.0,68.06,5.0,2021-08-03
,Payer C,Oncology,262.0,24.0,54.0,14.0,22.38,12.02,72.53,34.0,30000.0,8.0,86.33,9.0,87.75,1.0,72.68,,82.34,1.0,4.0,2.46,73.25,46.0,71.93,5.0,2020-05-02
1109.0,Payer A,Oncology,177.0,37.0,31.0,6.0,23.68,9.96,147.43,57.0,30000.0,9.0,85.04,9.0,81.04,3.0,62.89,15.0,76.44,,0.0,4.3,95.22,17.0,68.68,8.0,2021-07-02
1110.0,Payer B,,157.0,39.0,51.0,8.0,11.55,9.31,89.03,32.0,30000.0,12.0,71.22,8.0,89.57,4.0,65.07,34.0,68.26,2.0,20.0,4.35,,46.0,70.82,5.0,2020-08-22
1111.0,Payer C,Oncology,,,34.0,10.0,7.72,14.54,140.97,,4902.31,6.0,77.99,,94.8,1.0,89.48,34.0,59.73,2.0,,4.45,70.29,,89.5,6.0,2021-05-05
1112.0,Payer B,Oncology,113.0,36.0,33.0,15.0,9.74,7.06,72.56,31.0,3905.86,14.0,79.88,,90.27,1.0,74.8,11.0,82.83,3.0,3.0,1.15,99.53,42.0,85.08,7.0,2020-03-15
1113.0,Payer A,Cardiology,261.0,32.0,,18.0,20.52,8.12,68.92,52.0,4660.18,7.0,76.2,7.0,81.44,4.0,60.36,25.0,53.13,1.0,4.0,,74.52,40.0,62.34,5.0,2020-10-21
1114.0,Payer C,Oncology,288.0,21.0,35.0,20.0,24.43,8.08,111.69,55.0,2215.45,14.0,70.97,8.0,88.8,2.0,88.66,35.0,97.81,1.0,1.0,3.01,81.9,43.0,72.06,6.0,2021-05-14
1115.0,Payer A,Radiology,231.0,32.0,,25.0,14.33,7.89,127.94,51.0,3967.47,9.0,77.97,7.0,94.18,3.0,74.93,30.0,82.38,2.0,0.0,4.49,70.91,20.0,50.01,,2021-11-16
,,Cardiology,158.0,26.0,42.0,23.0,11.11,9.69,106.68,,3856.01,13.0,89.82,,81.16,1.0,85.09,18.0,97.97,1.0,20.0,,79.29,45.0,66.38,9.0,2023-02-15
1117.0,Payer A,,256.0,29.0,66.0,6.0,13.58,14.89,72.98,43.0,2178.76,14.0,79.0,9.0,,2.0,76.45,28.0,63.61,2.0,4.0,3.06,87.05,13.0,56.55,5.0,2021-10-17
1118.0,Payer C,Cardiology,182.0,25.0,54.0,29.0,11.1,13.89,53.79,36.0,3203.27,,78.08,8.0,87.41,4.0,63.05,30.0,97.33,3.0,,1.2,97.93,26.0,,8.0,2020-12-09
1119.0,Payer C,Radiology,233.0,,55.0,21.0,10.13,8.28,111.83,51.0,3509.66,,93.54,6.0,83.9,4.0,78.47,24.0,80.61,2.0,0.0,3.39,99.71,25.0,58.84,9.0,2020-06-07
1120.0,Payer B,Cardiology,220.0,22.0,68.0,13.0,,9.23,63.1,31.0,2924.53,8.0,71.04,7.0,98.7,3.0,89.92,33.0,90.51,3.0,20.0,2.34,82.7,39.0,79.96,6.0,2022-02-20
1121.0,Payer A,Cardiology,276.0,37.0,49.0,21.0,,11.69,,40.0,4308.71,14.0,89.18,8.0,91.63,4.0,61.04,11.0,58.95,2.0,4.0,1.83,82.85,48.0,62.53,5.0,2020-02-16
